title,url,icon
وب سایت[br]شرکت تونل سد آریانا,https://www.ariana-co.com/,logo/Ariana.png
داشبورد مدیریتی[br]شرکت تونل سد آریانا,http://pbirs.ariana-co.com/Reports,logo/Powerbi.png
سامانه حضور و غیاب[br]شرکت تونل سد آریانا,http://pwkara.ariana-co.com:8091/Account/Login,logo/Attendance.png
